# Tetrahedron method
        0.3376755253        0.0000000000
        0.3880361634        0.0000000000
        0.4383968015        0.0000000000
        0.4887574395        0.0000000000
        0.5391180776        0.0000000000
        0.5894787156        0.0000000000
        0.6398393537        0.0000000000
        0.6901999918        0.0000000000
        0.7405606298        0.0000000000
        0.7909212679        0.0000000000
        0.8412819059        0.0000000000
        0.8916425440        0.0000000000
        0.9420031821        0.0000000000
        0.9923638201        0.0000000000
        1.0427244582        0.0000000000
        1.0930850962        0.0000000000
        1.1434457343        0.0000000000
        1.1938063724        0.0029558773
        1.2441670104        0.0043303794
        1.2945276485        0.0059637500
        1.3448882865        0.0086061874
        1.3952489246        0.0095599674
        1.4456095627        0.0111971559
        1.4959702007        0.0129144679
        1.5463308388        0.0148501700
        1.5966914768        0.0169680724
        1.6470521149        0.0192319594
        1.6974127530        0.0214092728
        1.7477733910        0.0241924376
        1.7981340291        0.0272263650
        1.8484946671        0.0304478341
        1.8988553052        0.0338078840
        1.9492159433        0.0372776003
        1.9995765813        0.0411730523
        2.0499372194        0.0463270917
        2.1002978574        0.0515081146
        2.1506584955        0.0565084697
        2.2010191336        0.0614618352
        2.2513797716        0.0663070504
        2.3017404097        0.0722525199
        2.3521010477        0.0786916536
        2.4024616858        0.0842683839
        2.4528223239        0.0895031361
        2.5031829619        0.0946266240
        2.5535436000        0.0995374570
        2.6039042380        0.1052690545
        2.6542648761        0.1103744224
        2.7046255142        0.1153676014
        2.7549861522        0.1203637058
        2.8053467903        0.1250694734
        2.8557074283        0.1293165272
        2.9060680664        0.1340534839
        2.9564287045        0.1389597436
        3.0067893425        0.1440383013
        3.0571499806        0.1492939027
        3.1075106186        0.1522856981
        3.1578712567        0.1565198172
        3.2082318948        0.1612393784
        3.2585925328        0.1661992792
        3.3089531709        0.1710799275
        3.3593138089        0.1748261809
        3.4096744470        0.1794045343
        3.4600350851        0.1843950523
        3.5103957231        0.1898379485
        3.5607563612        0.1956073611
        3.6111169992        0.2004448969
        3.6614776373        0.2055859458
        3.7118382754        0.2111598739
        3.7621989134        0.2173704006
        3.8125595515        0.2242165663
        3.8629201895        0.2314490189
        3.9132808276        0.2384522633
        3.9636414657        0.2457117151
        4.0140021037        0.2533484828
        4.0643627418        0.2615820886
        4.1147233798        0.2705818854
        4.1650840179        0.2802890623
        4.2154446559        0.2904710313
        4.2658052940        0.3009064848
        4.3161659321        0.3117846744
        4.3665265701        0.3235651538
        4.4168872082        0.3364926593
        4.4672478462        0.3499940701
        4.5176084843        0.3641621718
        4.5679691224        0.3788989156
        4.6183297604        0.3944668246
        4.6686903985        0.4112210854
        4.7190510365        0.4293091699
        4.7694116746        0.4481207026
        4.8197723127        0.4684888778
        4.8701329507        0.4898056713
        4.9204935888        0.5125164104
        4.9708542268        0.5379058906
        5.0212148649        0.5661180564
        5.0715755030        0.6036421619
        5.1219361410        0.6472226518
        5.1722967791        0.6984386820
        5.2226574171        0.7499903678
        5.2730180552        0.7886511787
        5.3233786933        0.8281412055
        5.3737393313        0.8517409344
        5.4240999694        0.8783714936
        5.4744606074        0.8608515693
        5.5248212455        0.8939860479
        5.5751818836        0.9257690799
        5.6255425216        0.9504115747
        5.6759031597        1.0266590323
        5.7262637977        1.0532135528
        5.7766244358        1.0626161717
        5.8269850739        1.0965466321
        5.8773457119        1.2187094052
        5.9277063500        1.2720576804
        5.9780669880        1.2939867002
        6.0284276261        1.3441052870
        6.0787882642        1.3823507369
        6.1291489022        1.3819005039
        6.1795095403        1.4126899466
        6.2298701783        1.3599873072
        6.2802308164        1.4203042309
        6.3305914545        1.6341814459
        6.3809520925        1.7121707661
        6.4313127306        1.8000623779
        6.4816733686        2.0668149246
        6.5320340067        1.9499942246
        6.5823946448        1.6400334383
        6.6327552828        1.6261918362
        6.6831159209        1.4894329896
        6.7334765589        1.2919528590
        6.7838371970        1.1093829630
        6.8341978351        1.1305421357
        6.8845584731        1.1510108882
        6.9349191112        1.1728350093
        6.9852797492        1.2442037279
        7.0356403873        1.5664110523
        7.0860010254        1.4064290530
        7.1363616634        1.3160598710
        7.1867223015        1.2497684292
        7.2370829395        1.2110973303
        7.2874435776        1.1928525179
        7.3378042157        1.0397877038
        7.3881648537        0.9947245813
        7.4385254918        0.9874882237
        7.4888861298        1.0052462665
        7.5392467679        0.9383313384
        7.5896074060        0.8804343188
        7.6399680440        0.8664880558
        7.6903286821        0.8597433014
        7.7406893201        0.8036757369
        7.7910499582        0.7533044462
        7.8414105963        0.7284100391
        7.8917712343        0.7200425365
        7.9421318724        0.7374499090
        7.9924925104        0.7483822324
        8.0428531485        0.7417537370
        8.0932137866        0.7400372532
        8.1435744246        0.7464397655
        8.1939350627        0.7530184591
        8.2442957007        0.7690719747
        8.2946563388        0.7811787947
        8.3450169769        0.7897081021
        8.3953776149        0.8103931007
        8.4457382530        0.8314812288
        8.4960988910        0.8645444184
        8.5464595291        0.9095564015
        8.5968201672        0.9732148155
        8.6471808052        1.0685106599
        8.6975414433        1.2285127552
        8.7479020813        1.3970521937
        8.7982627194        1.4282925066
        8.8486233575        1.5302209497
        8.8989839955        1.5835160004
        8.9493446336        1.6520969951
        8.9997052716        1.9368368779
        9.0500659097        2.6476385182
        9.1004265478        2.6177435784
        9.1507871858        2.0449417533
        9.2011478239        1.7644589071
        9.2515084619        1.5350443900
        9.3018691000        1.4181555982
        9.3522297381        1.2693150402
        9.4025903761        1.1651227524
        9.4529510142        1.0274535926
        9.5033116522        0.4829830637
        9.5536722903        0.2605248394
        9.6040329284        0.0000000000
        9.6543935664        0.0000000000
